阐那,车匿
难提雅,难提
苏跋达,须跋陀罗
苏跋,须跋
苏菩帝,须菩提
弥林达,弥兰
都西答,兜率天
萨遮咖,萨遮
萨喇瓦帝,婆罗跋提
萨度,善哉
萨咖达嘎弥,斯陀含
积撒苟答弥,吉离舍瞿昙弥
积撒?苟答弥,吉离舍?瞿昙弥
积撒.苟答弥,吉离舍.瞿昙弥
独觉,辟支佛
羯腊摩,迦罗摩
摩嘎喇那,目犍连
遮答,祇陀
宾兜喇跋拉度阿迦,宾头卢颇罗堕
宾比萨拉,频婆娑罗
维都哒跋,毘琉璃
维沙卡,毘舍佉
维那亚,毘奈耶
维末罗,毘摩罗
维巴西,毘婆尸
玛莉咖,末利
玛欣德,摩哂陀
玛印达,摩哂陀
满答尼补答,满慈子
满答尼子,满慈子
抠沙伽,瞿沙伽
嘎卢腊,迦楼罗
嘎旺巴帝,憍梵波提
僧始终,僧伽婆尸沙(僧残)
僧伽.米塔,僧伽蜜多
雷瓦达,离越哆
雷瓦塔,离婆多
须奇提诃,善毘提诃
达玛帝那,达摩提那
达拔马喇子,陀骠摩罗子
跋嘎,婆伽
葛拉玛,迦罗摩
葛拉嘛,迦罗摩
舒芭达,须跋陀罗
答咖西喇,呾叉始罗
普库沙提,弗加沙
揭达林,祇陀园
揭达,祇陀园
堪塔咖,犍度
凯玛,差摩
勒瓦答,离婆多
舍心堕,尼萨耆波逸提(舍忏)
得瓦达答,提婆达多
庵婆波利,庵婆罗女
基瓦咖,耆婆
伦比尼,蓝毘尼
索答般那,须陀洹
索那,输那
高赏比,拘睒弥
高沙喇,拘萨罗
马兴德,摩哂陀
马嘎塔,摩揭陀
马嘎底,摩揭陀
马喇,末罗
马哈摩嘎喇那,摩诃目犍连
马哈迦叶,大迦叶
马哈果提答,摩诃拘絺罗
马哈咖沙巴,大迦叶
马哈咖咤亚那,摩诃迦旃延
马哈咖咤那,摩诃迦旃延
马哈咖比那,摩诃劫宾那
马哈那马,摩诃男
马拉,末罗
马那答,摩那埵
盎嘎,鸯伽
毕陵达瓦差,毕陵伽婆蹉
乌答拉,郁多罗
乌帕萨咖,优婆塞
桑喀蜜妲,僧伽蜜多
桑喀帝,僧伽梨
桑喀地谢沙,僧伽婆尸沙(僧残)
桑咖沙,僧伽施
旃达罗,旃檀那
库希那拉,拘尸那揭罗
库竹答拉,久寿多罗
孙达利咖拔拉多瓦奢,孙陀利．婆罗堕阇
孙达利咖,孙陀利
准达,纯陀
韦碟哈牟尼,毘提诃牟尼
韦得希咖,韦提希
韦沙离,毘舍离
韦沙菩,毘舍浮
韦沙瓦讷,毘沙门天
面达咖,文荼
美德亚,弥勒
玻大昆大拉给沙,跋陀军陀罗拘夷国
毘漏梯咖,卑卢．婆蹉延那
柯玛,差摩
威跋拉,毘婆罗山
威沙堪马,毘首羯摩
威沙咖,毘舍佉
林野,阿兰若
金比喇,金毘罗
迭瓦达答,提婆达多
迦蓝磨,迦罗摩
迦摩罗,迦罗摩
苟答马,乔答摩
果德玛,乔答摩
果那嘎马那,拘那含牟尼
昆达拉克萨,军陀罗拘夷国
拔希亚,婆酰迦
拔古喇,薄拘罗
帕瓦,波婆城
帕扎佳拉,波罗遮那
孤邸,僧寮
奇提诃,弗婆提
咖噜达夷,迦留陀夷
咖提那,迦絺那
咖毕喇瓦土,迦毘罗卫
咖拉麻,迦罗摩
咖沙巴,迦叶
咖西,迦尸
咖咤那,迦旃延
咖古三塔,拘留孙
咖比那,劫宾那
呵塔卡,呵多阿罗婆
亚寿塔拉,耶输陀罗
亚马,夜摩天
亚沙,耶舍
亚卡,夜叉
阿难达,阿难
阿苏罗,阿修罗
阿首咖,阿育王
阿拉维,阿罗毘
阿拉汉,阿罗汉
阿迦答沙都,阿阇世
阿利他,阿梨咤
阿沙基,阿说示
阿那嘎弥,阿那含
阿咤利亚,阿阇梨
阿奴卢塔,阿那律
近事男,优婆塞
近事女,优婆夷
沙玛瓦帝,差摩婆帝
沙马内莉,沙弥尼
沙马内拉,沙弥
色拉瓦提,婆罗跋提
色拉,娑罗
沙咖天帝,帝释天
沙利补答,舍利弗
沙利子,舍利弗
沙瓦提,舍卫城
汪积撒,婆耆舍
吧古喇,薄拘罗
那摩,南无
西奇,尸弃
西利玛,师利摩
牟利帕谷那,牟犁破群那
朱腊般他嘎,周利盘陀伽
安雅衮丹雅,阿若憍陈如
衮丹雅,憍陈如
安巴拔利,庵婆罗女
在学尼,式叉摩那
吉答,质多罗
伍卢韦喇,优楼频螺
