闡那,車匿
難提雅,難提
蘇跋達,須跋陀羅
蘇跋,須跋
蘇菩帝,須菩提
彌林達,彌蘭
都西答,兜率天
薩遮咖,薩遮
薩喇瓦帝,婆羅跋提
薩度,善哉
薩咖達嘎彌,斯陀含
積撒苟答彌,吉離舍瞿曇彌
積撒‧苟答彌,吉離舍‧瞿曇彌
積撒.苟答彌,吉離舍.瞿曇彌
獨覺,辟支佛
羯臘摩,迦羅摩
摩嘎喇那,目犍連
遮答,祇陀
賓兜喇跋拉度阿迦,賓頭盧頗羅墮
賓比薩拉,頻婆娑羅
維都噠跋,毘琉璃
維沙卡,毘舍佉
維那亞,毘奈耶
維末羅,毘摩羅
維巴西,毘婆尸
瑪莉咖,末利
瑪欣德,摩哂陀
瑪印達,摩哂陀
滿答尼補答,滿慈子
滿答尼子,滿慈子
摳沙伽,瞿沙伽
嘎盧臘,迦樓羅
嘎旺巴帝,憍梵波提
僧始終,僧伽婆尸沙(僧殘)
僧伽.米塔,僧伽蜜多
雷瓦達,離越哆
雷瓦塔,離婆多
須奇提訶,善毘提訶
達瑪帝那,達摩提那
達拔馬喇子,陀驃摩羅子
跋嘎,婆伽
葛拉瑪,迦羅摩
葛拉嘛,迦羅摩
舒芭達,須跋陀羅
答咖西喇,呾叉始羅
普庫沙提,弗加沙
揭達林,祇陀園
揭達,祇陀園
堪塔咖,犍度
凱瑪,差摩
勒瓦答,離婆多
捨心墮,尼薩耆波逸提(捨懺)
得瓦達答,提婆達多
庵婆波利,菴婆羅女
基瓦咖,耆婆
倫比尼,藍毘尼
索答般那,須陀洹
索那,輸那
高賞比,拘睒彌
高沙喇,拘薩羅
馬興德,摩哂陀
馬嘎塔,摩揭陀
馬嘎底,摩揭陀
馬喇,末羅
馬哈摩嘎喇那,摩訶目犍連
馬哈迦葉,大迦葉
馬哈果提答,摩訶拘絺羅
馬哈咖沙巴,大迦葉
馬哈咖吒亞那,摩訶迦旃延
馬哈咖吒那,摩訶迦旃延
馬哈咖比那,摩訶劫賓那
馬哈那馬,摩訶男
馬拉,末羅
馬那答,摩那埵
盎嘎,鴦伽
畢陵達瓦差,畢陵伽婆蹉
烏答拉,鬱多羅
烏帕薩咖,優婆塞
桑喀蜜妲,僧伽蜜多
桑喀帝,僧伽梨
桑喀地謝沙,僧伽婆尸沙(僧殘)
桑咖沙,僧伽施
旃達羅,旃檀那
庫希那拉,拘尸那揭羅
庫竹答拉,久壽多羅
孫達利咖拔拉多瓦奢,孫陀利．婆羅墮闍
孫達利咖,孫陀利
准達,純陀
韋碟哈牟尼,毘提訶牟尼
韋得希咖,韋提希
韋沙離,毘舍離
韋沙菩,毘舍浮
韋沙瓦納,毘沙門天
面達咖,文荼
美德亞,彌勒
玻大昆大拉給沙,跋陀軍陀羅拘夷國
毘漏梯咖,卑盧．婆蹉延那
柯瑪,差摩
威跋拉,毘婆羅山
威沙堪馬,毘首羯摩
威沙咖,毘舍佉
林野,阿蘭若
金比喇,金毘羅
迭瓦達答,提婆達多
迦藍磨,迦羅摩
迦摩羅,迦羅摩
苟答馬,喬答摩
果德瑪,喬答摩
果那嘎馬那,拘那含牟尼
昆達拉克薩,軍陀羅拘夷國
拔希亞,婆醯迦
拔古喇,薄拘羅
帕瓦,波婆城
帕扎佳拉,波羅遮那
孤邸,僧寮
奇提訶,弗婆提
咖嚕達夷,迦留陀夷
咖提那,迦絺那
咖畢喇瓦土,迦毘羅衛
咖拉麻,迦羅摩
咖沙巴,迦葉
咖西,迦尸
咖吒那,迦旃延
咖古三塔,拘留孫
咖比那,劫賓那
呵塔卡,呵多阿羅婆
亞壽塔拉,耶輸陀羅
亞馬,夜摩天
亞沙,耶舍
亞卡,夜叉
阿難達,阿難
阿蘇羅,阿修羅
阿首咖,阿育王
阿拉維,阿羅毘
阿拉漢,阿羅漢
阿迦答沙都,阿闍世
阿利他,阿梨吒
阿沙基,阿說示
阿那嘎彌,阿那含
阿吒利亞,阿闍梨
阿奴盧塔,阿那律
近事男,優婆塞
近事女,優婆夷
沙瑪瓦帝,差摩婆帝
沙馬內莉,沙彌尼
沙馬內拉,沙彌
沙拉瓦提,婆羅跋提
沙拉,娑羅
沙咖天帝,帝釋天
沙利補答,舍利弗
沙利子,舍利弗
沙瓦提,舍衛城
汪積撒,婆耆舍
吧古喇,薄拘羅
那摩,南無
西奇,尸棄
西利瑪,師利摩
牟利帕谷那,牟犁破群那
朱臘般他嘎,周利槃陀伽
安雅袞丹雅,阿若憍陳如
袞丹雅,憍陳如
安巴拔利,菴婆羅女
在學尼,式叉摩那
吉答,質多羅
伍盧韋喇,優樓頻螺
伍嘎,郁伽
伍達亞那,優填王
伍達夷,優陀夷
伍答拉難答母,鬱多羅難陀母
伍波薩他,布薩
伍巴離,優婆離
伍巴難達,跋難陀
甘塔拉,健陀羅
甘塔拔,乾闥婆
甘馬,羯磨
本那瓦達那,滿增
本那.滿答尼補答,富樓那
本那,富樓那
布德嘎亞,菩提伽耶
尼薩耆亞巴吉帝亞,尼薩耆波逸提(捨懺)
古盧,俱盧
古西那拉,拘尸那揭羅
卡拉摩,迦羅摩
卡拉瑪,迦羅摩
瓦薩,僧臘
瓦基,跋耆
比庫尼,比丘尼
比庫,比丘
心墮,波逸提(懺悔)
巴謝那地,波斯匿
巴答珈,波羅遮那
巴答吒拉,波羅遮那
巴斯那地,波斯匿
巴嗒厘子,波吒釐子
巴帝摩卡,波羅提木叉
巴拉密,波羅蜜
巴拉基嘎,波羅夷(驅擯)
巴拉納西,波羅奈
巴迦巴帝苟答彌,波闍波提瞿曇彌
苟答彌,瞿曇彌
巴迦巴帝,波闍波提
巴吉帝亞,波逸提(懺悔)
巴支咖佛,辟支佛
土喇難達,偷蘭難陀
土喇吒亞,偷蘭遮(未遂罪)
三十三天,忉利天
難達,難陀
喜末羅雅山,喜馬拉雅山
駿末羅的,駿馬拉的
